boat;sail;model;maxSequence;country
J-24 NEWPORT;*J-24 -  Genoa NW DX7TT;GDX7TT-41;40;ARG
J-24 NEWPORT;*J-24 - Mayor NW Fat Head;MNW-45;43;ARG
J-24 NEWPORT;*J-24 - Spi NW SN;;;ARG
J-24 SAN DIEGO;*J-24  - Spi FR-3;;;ARG
J-24 SAN DIEGO;*J-24 - Foque Super R.Blade;JSRB-21;21;ARG
J-24 SAN DIEGO;*J-24 - Genoa GP-7TW;;;ARG
J-24 SAN DIEGO;*J-24 - Mayor AP2;;;ARG
J-24 SAN DIEGO;*J-24 - Spi FR-2;SSD-FR2-68;66;ARG
J-24 SPORT;*J24  SPORT - Foque;JSPT-01;01;ARG
J-24 SPORT;*J24 SPORT - Genoa;GNW-34;34;ARG
J-24 SPORT;*J24 SPORT - Mayor;MSPT-05;05;ARG
J-24 SPORT;*J24 SPORT - Spi;;;ARG
J-70;*J-70 - Asy AP1;AAP1-44;45;ARG
J-70;*J-70 - Cajon Spi;C SP1-07;07;ARG
J-70;*J-70 - Foque J2HC;J2HC-15;24;ARG
J-70;*J-70 - Foque J6;J6-31;29;ARG
J-70;*J-70 - HK 8666 - FCUB/TRAVEL MO;HK8666 FCUB-10;10;ARG
J-70;*J-70 - HK 8667 - LSHEET BAG;HK8667-LSHEET BAG-03;03;ARG
J-70;*J-70 - HK 8669 - CESC/COMPANION;HK8669-CESC-13;13;ARG
J-70;*J-70 - HK 8670 - FTIM/RUDDER BA;HK8670-FTIM-06;06;ARG
J-70;*J-70 - HK 8671 - TILLERB - CORT;;;ARG
J-70;*J-70 - HK 8673 - FFQ/UV SOCK;HK8673-CFQ-09;09;ARG
J-70;*J-70 - HK 8676 - SPEADER;HK8676-SPEADER-03;03;ARG
J-70;*J-70 - HK 8683 - ZIPMAST;HK8683-ZIPMAST-01;01;ARG
J-70;*J-70 - HK 8691 - HATCHBB;HK8691-HATCHBB-03;03;ARG
J-70;*J-70 - HK 8700 - FCUB-BOT/OVER;FCUBb-01;01;ARG
J-70;*J-70 - Mayor MF1;MF1-07;09;ARG
J-70;*J-70 - Mayor MXCS-1;MXCS2-20;20;ARG
J-70;*J-70 - Mayor MXCS-1 - NEW CLOTH;;;ARG
J-70;*J-70 - Mayor MXCS-2;MXCS2-17;22;ARG
J-70;*J-70 - Mayor MXCS-2 - NUEVA TEL;;;ARG
J-70;*J70 - Asy AMC1;AMC1-07;11;ARG
J-70;J-70 - Foque J2R-4;J2R4-10;01;ARG
LASER;ESTANDAR;;;BRA
LASER;LASER - HK 8055 - Funda Cubierta;HK8055-FCUB-02;02;ARG
LASER;RADIAL;;;BRA
LIGHTNING;*LIGHTNING - Foque J5A+;JV5+ -06;06;ARG
LIGHTNING;*LIGHTNING - SR2;SR2-02;02;ARG
LIGHTNING;LIGHTNING - Mayor M5;M5-01;01;ARG
MASTRACCHIO DS-24;MASTRACCHIO DS-24 - Cubremayor G;;;ARG
MASTRACCHIO DS-24;MASTRACCHIO DS-24 - Foque c/batt;J C/B-09;09;ARG
MASTRACCHIO DS-24;MASTRACCHIO DS-24 - Foque p/e;J-P/E-10;10;ARG
MASTRACCHIO DS-24;MASTRACCHIO DS-24 - Gennaker G1-;;;ARG
MASTRACCHIO DS-24;MASTRACCHIO DS-24 - Mayor 1 Rizo;M1R-09;;ARG
MASTRACCHIO DS-24;MASTRACCHIO DS-24 - Mayor 2 Rizo;M2R-06;06;ARG
MATCH 30;MATCH 30 - Asy A2;A2-13;13;ARG
MATCH 30;MATCH 30 - Genoa AP - 2020;;;ARG
MATCH 30;MATCH 30 - Genoa G#1 AP/CS;;;ARG
MATCH 30;MATCH 30 - Genoa G#C1 Light/Med;;;ARG
MATCH 30;MATCH 30 - Genoa G#C2  Med./Hvy;G# MED HVY;;ARG
MATCH 30;MATCH 30 - Genoa G#C2 Med./Hvy -;;;ARG
MATCH 30;MATCH 30 - Mayor M1 SQ Head;M1-06;;ARG
MATCH 30;MATCH 30 - Mayor M1 SQ Head - 20;;;ARG
MICRO VOLKER;M VOLKER - Foque JDC1;FOQUE DC1 CRUCERO;;ARG
MICRO VOLKER;M VOLKER - Foque JDC1;;;BRA
MICRO VOLKER;M VOLKER - Foque JP1;JP1-01;;ARG
MICRO VOLKER;M VOLKER - My MDC1;MAYOR DC1 CRUCERO;;ARG
MICRO VOLKER;M VOLKER - My MDC1;;;BRA
MICRO VOLKER;M VOLKER - My MP1;MP1-01;;ARG
NACRA20;Mestra;;;BRA
OPEN 590;OPEN 590 - A1;;;BRA
OPEN 590;OPEN 590 - Buja P1;;;BRA
OPEN 590;OPEN 590 - Mayor P1;;;BRA
OPTIMIST;*OPT - HK8111- FDA CASCO;HK-8111C-04;04;ARG
OPTIMIST;*OPT - HK8111C-FDA CASCO CORDURA;HK-8111C-04;04;ARG
OPTIMIST;*OPT - Mayor CLUB;MCLUB-87;96;ARG
OPTIMIST;*OPT - Mayor CLUB;;;BRA
OPTIMIST;*OPT - Mayor NR1;MNR1-1;7;ARG
OPTIMIST;*OPT - Mayor NR2;MNR2-4;8;ARG
OPTIMIST;*OPT - MAYOR NR3;MNR3-19;19;ARG
OPTIMIST;*OPT - Mayor R1;MR1-14;4;ARG
OPTIMIST;*OPT - Mayor R2;MR2-21;21;ARG
OPTIMIST;*OPT - Mayor R4;MR4-24;29;ARG
OPTIMIST;*OPT - Mayor R5;MR5-48;49;ARG
OPTIMIST;*OPT - Mayor ZX4;MZX4/37;;ARG
OPTIMIST;*OPT - Mayor ZX5;MZX5-34;35;ARG
OPTIMIST;OPT - Mayor CZ5;M CZ5-06;06;ARG
OPTIMIST;OPT - Mayor DZ6;;;ARG
OPTIMIST;OPT - Mayor MCO;;;ARG
OPTIMIST;OPT - Mayor V4;V4-22;22;ARG
OPTIMIST;OPT - Mayor V6;V6-71;71;ARG
OPTIMIST;OPT - Mayor XL08;L08;;ARG
OPTIMIST RV+;OPT RV+ - Mayor;;;ARG
PAMPERO;*PAMPERO - Foque CD1;;;ARG
PAMPERO;*PAMPERO - Foque D12 HTP;JD12-89;92;ARG
PAMPERO;*PAMPERO - Mayor CD1;;;ARG
PAMPERO;*PAMPERO - Mayor D12 HTP;MD12-85;88;ARG
PIRATA;PIRATA - Mayor CM4;;;ARG
SNIPE;*SNIPE - Foque R3LM GR;JR3LM-420;420;ARG
SNIPE;*SNIPE - Mayor SW3;MSW3-49;49;ARG
SNIPE;*SNIPE - Mayor SW4;MSW4-79;79;ARG
SNIPE;Mestra SW3;;;BRA
SNIPE;Mestra SW4;;;BRA
SNIPE;PR3;;;BRA
SNIPE;SNIPE - Foque BR1DH;FQ BR1;;ARG
SNIPE;SNIPE - Foque R3LM;JR3LM-389;389;ARG
SNIPE;SNIPE - Foque R3LM;;;BRA
SNIPE;SNIPE - Funda Casco HK-8252;FCAS-07;08;ARG
SNIPE;SNIPE - Funda Mastil x 3u;;;ARG
SNIPE;SNIPE - Funda Orza;SNIPE-FORZ-08;08;ARG
SNIPE;SNIPE - Funda Timon;SNIPE-FTIM-08;08;ARG
SNIPE;Snipe - HK 8251 - FCUBSOFT;HK8251-04;04;ARG
SNIPE;SNIPE - HK 8251 - FCUBSU;;;ARG
SNIPE;SNIPE - Mayor AP5;MCB2-26;26;ARG
SNIPE;SNIPE - Mayor CB2;MCB2-25;25;ARG
SNIPE;SNIPE - Mayor M-12;;;ARG
SNIPE;SNIPE - Mayor M6X;;;BRA
SNIPE;SNIPE - Mayor M6X;M6X-95;95;ARG
SNIPE;SNIPE - Mayor PR3;MPR3-40;40;ARG
SNIPE;SNIPE - Mayor PR3;;;BRA
SNIPE;SNIPE - Mayor SW4 con 130HTP;;;BRA
SOLING;SOLING - Foque V1+;JV1+-11;11;ARG
SOLING;SOLING - Foque V1T;JV1T-03;05;ARG
SOLING;SOLING - Mayor AP2;MAP2-05;05;ARG
SOLING;SOLING - Mayor AP2;MAP2-03;03;BRA
SOLING;SOLING - Mayor AP2 -NUEVA TELA 2;MAP2-07;07;ARG
SOLING;SOLING - Spi Monster;S MON- SL;;ARG
SOLING;SOLING -Spi PD4;SPD4-07;07;ARG
SOTO 33;SOTO 33 - A1.5;;;ARG
SOTO 33;SOTO 33 - A2;;;ARG
STAR;*STAR - Foque J-1F o J1;J115-75;75;ARG
STAR;*STAR - Foque J07;J07-03;03;ARG
STAR;*STAR - Foque J115;J115-86;86;ARG
STAR;*STAR - Foque J115R 2019;J115R-10;10;ARG
STAR;*STAR - Foque J115R 2020;;;ARG
STAR;*STAR - Foque J2-FR;J2-FR-01;01;ARG
STAR;*STAR - Foque J25 V3/ J2R;;;ARG
STAR;*STAR - HK8522 - FCUB;HK8522 FCUB-01;01;ARG
STAR;*STAR - Mayor M-16 AP;MS18;;ARG
STAR;*STAR - Mayor M05 2019;M05-18;18;ARG
STAR;*STAR - Mayor M25  2019;M2.5-08;08;ARG
STAR;STAR - Foque J1-R;;;ARG
STAR;STAR - Foque J115AP;H30721-7;2;ARG
STAR;STAR - Foque J15 Hvy Cloth;;;ARG
STAR;STAR - Foque J1R5 -HTP;J1R5-01 HTP;;ARG
STAR;STAR - Foque J1R5- RSQ;J1R5-04;04;ARG
STAR;STAR - Foque J25;;;ARG
STAR;STAR - Mayor M-05 V1;MO5-;;ARG
STAR;STAR - Mayor M-05 V2 Scheidt;;;ARG
STAR;STAR - Mayor M-16 H;M16H-56;56;ARG
STAR;STAR - Mayor M-16 V1 Lars;M16-58 VER TELAS C/TB;;ARG
STAR;STAR - Mayor M-16 V3 Scheidt;M16.V4-51;51;ARG
STAR;STAR - Mayor M-16 V4 Hvy Cloth S;;;ARG
STAR;STAR - Mayor M2.1;M2;;ARG
STAR;STAR NUEVO MOD. - Foque J1-R4;J1.R4-01;01;ARG
STAR;STAR NUEVO MOD. - Mayor M0-5;;;ARG
STAR;STAR NUEVO MOD. - Mayor M1-6 V1;M1-16.V1-01;01;ARG
STAR;STAR NUEVO MOD. - Mayor M1-6 V2;M1-16.V2-01;01;ARG
TP52;CAJON TP-52 130 (A1-1.5);CAJON TP-52 130 (A1-3);;ARG
TP52;CAJON TP-52 150 (A2-A4-A5);CAJON TP-52 150 (A2PLUS-1);;ARG
TP52;CAJON TP-52 180 (A3);;;ARG
TP52;TP52 - A1 2017;;;ARG
TP52;TP52 - A125-A 2016;;;ARG
TP52;TP52 - A15-2 2017;A1.5;;ARG
TP52;TP52 - A2-NYLON 2016;;;ARG
TP52;TP52 - A2-POLY 2016;A2-2 2017;;ARG
TP52;TP52 - A4-1 2015;;;ARG
TP52;TP52 - Spi Staysail SS-1 2015;SS;;ARG
